,MONTH,SOURCE_SYS_CD,PRICE_TO_BP,BID_MARGIN_TOTAL,BID_MARGIN,BID_DISCOUNT,STOP_BIDS,BPCOPS,MISSING,COUNTRY,CONFIDENTIALITY,ROUTE_TO_MARKET,NON_COMPETITIVE_BID,OFF_SHORE_PMT_TERMS,BUNDLED_SOLUTION,CONTINGENCY_FEE,FOCUS,HW_SW,bid_id
22201,4,SQO,16133.04,5372.9515,24.9835,24.9835,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,9588629
22202,4,SQO,16133.04,5372.9515,24.9835,24.9835,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,9589026
22203,4,SQO,50221.52,16731.4977,24.9899,24.9899,0,1,0,SA,N,N,N,N,Y,N,1,SW,9608664
22204,4,SQO,34088.48,11358.5332,24.9929,24.9929,0,0,0,SA,N,N,N,N,N,N,0,SW,9637398
22205,4,SQO,34088.48,11358.5332,24.9929,24.9929,0,0,0,SA,N,N,N,N,Y,N,0,SW,9637601
22206,6,SQO,15497.38,5163.6177,24.9921,80.7642,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,9759269
22207,6,SQO,15726.82,5240.0995,24.9922,81.0166,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,9821711
22208,6,SQO,15726.82,5240.0995,24.9922,81.0166,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,9824698
22209,6,SQO,18874.5,6289.4248,24.9938,77.2172,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,9830482
22210,1,SQO,24513.3,8170.6731,24.999,64.5387,0,0,0,SA,N,N,N,N,Y,N,0,SW,9277864
22211,1,SQO,23467.14,7821.4303,24.9977,66.0521,0,0,0,SA,N,N,N,N,Y,N,0,SW,9291115
22212,1,SQO,30707.92,10236.2037,25.0004,61.0224,0,0,0,SA,N,N,N,N,Y,N,0,SW,9311583
22213,7,SQO,1339909.35,446634.4434,24.9999,76.4942,0,0,0,SA,N,N,N,N,Y,N,1,SW,9875243
